ID,Arrondissement,Nom_parc_lieu,Proximité_jeux_repère,Intersection,Etat,Date_installation,Remarque,Precision_localisation,X,Y,Longitude,Latitude
733,Montréal-Nord,Eusèbe-Ménard,sentier,boul Gouin Est/ave de Bruxelles,,,,orthophotographies,293174.09,5050374.77,-73.6490095623476,45.5931808381646
734,Montréal-Nord,Sabrevois,pataugeoire,ave des Récollets/rue Sabrevois,,,,orthophotographies,294398.56,5049327.08,-73.6332932314210,45.5837728327133
735,Montréal-Nord,Pilon,abri-soleil,rue Arthur-Champoux/ave Gariépy,,,,orthophotographies,293698.83,5050356.08,-73.6422835538294,45.5930212353444
736,Montréal-Nord,Pilon,parc à chien,rue Arthur-Champoux/ave Gariépy,,,,orthophotographies,293697.39,5050447.71,-73.6423040940278,45.5938457228688
737,Montréal-Nord,Maurice-Bélanger,intérieur du chalet,ave Hébert/rue Forest,,,accès restreint,orthophotographies,294526.9,5049771.29,-73.6316579172469,45.5877718638569
738,Montréal-Nord,Maurice-Bélanger,,rue Forest/ave de l'Hôtel-de-Ville,,,,orthophotographies,294523.2,5049825.77,-73.6317064820244,45.5882620350570
739,Montréal-Nord,Paul-Sauvé,intérieur du chalet,ave Éthier/rue de Bayonne,,,accès restreint,orthophotographies,294245,5051073.87,-73.6352988408423,45.5994885989553
740,Montréal-Nord,Paul-Sauvé,pataugeoire,ave Éthier/rue de Bayonne,,,,orthophotographies,294228.63,5051034.86,-73.6355078334792,45.5991373284035
741,Montréal-Nord,Paul-Sauvé,,boul Henri-Bourassa Est/ave Bellevois,,,,orthophotographies,294210.59,5051241.77,-73.6357435658829,45.6009988820841
742,Montréal-Nord,Aimé-Léonard,sentier,boul Gouin Est/boul Sainte-Gertrude,,,,orthophotographies,293992.41,5052005.61,-73.6385572832696,45.6078687429063
743,Montréal-Nord,Aimé-Léonard,module de jeux,boul Gouin Est/boul Sainte-Gertrude,,,,orthophotographies,293944.77,5051970.93,-73.6391672721201,45.6075559416117
744,Montréal-Nord,Aimé-Léonard,extérieur du chalet,boul Gouin Est/boul Sainte-Gertrude,,,,orthophotographies,293931.2,5052094.51,-73.6393439963553,45.6086677317225
745,Montréal-Nord,Saint-Laurent,intérieur du chalet,ave Salk/rue de la Gare,,,accès restreint,orthophotographies,294753.66,5051802.5,-73.6287936212261,45.6060525297430
746,Montréal-Nord,Saint-Laurent,soccer,ave Alfred/boul Henri-Bourassa Est,,,,orthophotographies,294737.66,5051650.25,-73.6289956000353,45.6046823154285
747,Montréal-Nord,Saint-Laurent,sentier,rue de la Gare/ave Edger,,,,orthophotographies,294667.21,5051845.29,-73.6299027921314,45.6064363097501
748,Montréal-Nord,Charleroi,intérieur du chalet,ave Alfred/rue Louis-Francoeur,,,accès restreint,orthophotographies,295171.39,5051072.73,-73.6234239546936,45.5994917876783
749,Montréal-Nord,Charleroi,baseball,rue Louis-Francoeur (face au #5273),,,,orthophotographies,295240.18,5051149.11,-73.6225436709772,45.6001800237781
750,Montréal-Nord,Lacordaire,intérieur du chalet,boulevard Lacordaire (#12576),,,accès restreint,orthophotographies,294503.7,5052927.51,-73.6320218369348,45.6161719768647
751,Montréal-Nord,Lacordaire,module de jeux,boulevard Lacordaire (#12576),,,,orthophotographies,294505.13,5052946.76,-73.6320039075628,45.6163452139267
752,Montréal-Nord,Henri-Bourassa,extérieur du chalet,ave Laurier/rue Pascal,,,,orthophotographies,295178.53,5052834.13,-73.6233671696083,45.6153413939226
753,Montréal-Nord,Henri-Bourassa,soccer,ave Laurier/rue Pascal,,,,orthophotographies,295208.62,5052862.62,-73.6229819147581,45.6155981695257
754,Montréal-Nord,Henri-Bourassa,module de jeux,ave Laurier/rue Pascal,,,,orthophotographies,295138.44,5052853.46,-73.6238815881962,45.6155147734799
755,Montréal-Nord,Le Carignan,intérieur du chalet,ave P.-M.-Favier/rue Renoir,,,,orthophotographies,295763.22,5052206.31,-73.6158586163698,45.6096999695726
756,Montréal-Nord,Le Carignan,intérieur du centre communautaire,ave P.-M.-Favier/rue Renoir,,,,orthophotographies,295765.58,5052232.58,-73.6158288459282,45.6099363840953
757,Montréal-Nord,Monty,intérieur du chalet,ave Monty (entre le #12357 et le #12351),,,accès par la ruelle,orthophotographies,295453.75,5053476.26,-73.6198505960804,45.6211231825371
758,Montréal-Nord,Monty,extérieur du chalet,ave Monty (entre le #12357 et le #12351),,,accès par la ruelle,orthophotographies,295447.02,5053465.4,-73.6199366889405,45.6210253712561
759,Montréal-Nord,Tardif,intérieur du chalet,rue Tardif ( à l'est de #6453),,,accès par la ruelle,orthophotographies,295713.16,5053111.75,-73.6165172941125,45.6178466800687
